facet,metric,condition,n,mean,sd,se
Find × Text,Scroll count,Non-grounded,40,9.7250,8.6053,1.3606
Find × Text,Scroll count,Grounded,44,10.7045,6.8931,1.0392
Find × Visual,Scroll count,Non-grounded,41,17.6829,12.9314,2.0196
Find × Visual,Scroll count,Grounded,36,18.5278,13.3299,2.2216
Guide × Text,Scroll count,Non-grounded,33,13.7879,9.4596,1.6467
Guide × Text,Scroll count,Grounded,40,12.6750,9.1354,1.4444
Guide × Visual,Scroll count,Non-grounded,44,11.7500,9.2463,1.3939
Guide × Visual,Scroll count,Grounded,44,11.9773,8.5249,1.2852
Find × Text,Ctrl+F,Non-grounded,40,1.4000,1.3737,0.2172
Find × Text,Ctrl+F,Grounded,44,1.1136,1.3332,0.2010
Find × Visual,Ctrl+F,Non-grounded,41,0.5854,0.7408,0.1157
Find × Visual,Ctrl+F,Grounded,36,0.4444,0.7346,0.1224
Guide × Text,Ctrl+F,Non-grounded,33,0.0000,0.0000,0.0000
Guide × Text,Ctrl+F,Grounded,40,0.0250,0.1581,0.0250
Guide × Visual,Ctrl+F,Non-grounded,44,0.0000,0.0000,0.0000
Guide × Visual,Ctrl+F,Grounded,44,0.0000,0.0000,0.0000
Find × Text,Text selections,Non-grounded,40,1.9750,2.8509,0.4508
Find × Text,Text selections,Grounded,44,1.2500,1.7270,0.2604
Find × Visual,Text selections,Non-grounded,41,1.4878,2.8733,0.4487
Find × Visual,Text selections,Grounded,36,0.5833,1.5924,0.2654
Guide × Text,Text selections,Non-grounded,33,1.6667,4.9917,0.8689
Guide × Text,Text selections,Grounded,40,0.8000,1.5558,0.2460
Guide × Visual,Text selections,Non-grounded,44,0.8409,1.9993,0.3014
Guide × Visual,Text selections,Grounded,44,0.6818,1.5667,0.2362
Find × Text,Mouse clicks,Non-grounded,40,15.2000,10.1076,1.5982
Find × Text,Mouse clicks,Grounded,44,13.9091,5.9877,0.9027
Find × Visual,Mouse clicks,Non-grounded,41,14.0732,7.6334,1.1921
Find × Visual,Mouse clicks,Grounded,36,13.3056,7.0095,1.1682
Guide × Text,Mouse clicks,Non-grounded,33,25.0000,13.2571,2.3078
Guide × Text,Mouse clicks,Grounded,40,23.0500,13.9209,2.2011
Guide × Visual,Mouse clicks,Non-grounded,44,22.7500,11.2501,1.6960
Guide × Visual,Mouse clicks,Grounded,44,24.4545,13.1423,1.9813
Find × Text,Mouse distance (px),Non-grounded,40,29491.6500,23492.8242,3714.5416
Find × Text,Mouse distance (px),Grounded,44,25609.6364,19625.0606,2958.5892
Find × Visual,Mouse distance (px),Non-grounded,41,20381.3659,15625.9523,2440.3638
Find × Visual,Mouse distance (px),Grounded,36,18163.8333,12975.7343,2162.6224
Guide × Text,Mouse distance (px),Non-grounded,33,15016.0909,9329.5174,1624.0605
Guide × Text,Mouse distance (px),Grounded,40,24129.0000,18459.0491,2918.6319
Guide × Visual,Mouse distance (px),Non-grounded,44,12829.1818,8422.0169,1269.6668
Guide × Visual,Mouse distance (px),Grounded,44,16875.5455,11263.8359,1698.0872
Find × Text,Page clicks,Non-grounded,40,5.3750,5.6373,0.8913
Find × Text,Page clicks,Grounded,44,5.2273,4.4714,0.6741
Find × Visual,Page clicks,Non-grounded,41,5.3902,6.8734,1.0734
Find × Visual,Page clicks,Grounded,36,4.5556,6.0448,1.0075
Guide × Text,Page clicks,Non-grounded,33,8.4545,12.7380,2.2174
Guide × Text,Page clicks,Grounded,40,7.8000,11.1544,1.7637
Guide × Visual,Page clicks,Non-grounded,44,4.8636,6.5186,0.9827
Guide × Visual,Page clicks,Grounded,44,5.1818,8.2470,1.2433
