facet,measure,condition,n,mean,sd,se,median,q1,q3
Guide × Visual,judge time (s),Non-grounded,44,64.7954,79.8698,12.0408,37.5620,23.9920,73.9315
Guide × Visual,locate time (s),Non-grounded,44,29.8965,44.4793,6.7055,17.4615,3.5343,33.8555
Guide × Visual,"total time (s), all rows",Non-grounded,44,94.6919,108.8830,16.4147,66.9555,39.0003,92.7668
Guide × Visual,"total time (s), correct only",Non-grounded,37,93.6761,104.1545,17.1229,69.9150,39.7720,91.8360
Guide × Visual,accuracy,Grounded,44,0.9318,0.2550,0.0384,1.0000,1.0000,1.0000
Guide × Visual,localization F1,Grounded,44,0.3908,0.3854,0.0581,0.4547,0.0000,0.8000
Guide × Visual,F1 · Error type F1,Grounded,44,0.5000,0.4741,0.0715,0.6667,0.0000,1.0000
Guide × Visual,F1 · Step F1,Grounded,44,0.2816,0.3380,0.0510,0.0000,0.0000,0.6000
Guide × Visual,judge time (s),Grounded,44,105.1394,143.1673,21.5833,71.6670,39.2610,108.1688
Guide × Visual,locate time (s),Grounded,44,33.4610,37.6415,5.6747,23.3295,4.6165,49.1208
Guide × Visual,"total time (s), all rows",Grounded,44,138.6004,149.1094,22.4791,98.8500,53.2525,172.6070
Guide × Visual,"total time (s), correct only",Grounded,41,147.1422,150.9451,23.5737,105.1730,62.3050,175.3400
