facet,measure,condition,n,mean,sd,se,median,q1,q3
Guide × Visual,judge time (s),Non-grounded,24,74.4673,98.5800,20.1226,47.8410,20.3755,77.8247
Guide × Visual,locate time (s),Non-grounded,24,17.1237,22.2523,4.5422,9.5470,3.4882,20.8230
Guide × Visual,"total time (s), all rows",Non-grounded,24,91.5910,118.2825,24.1443,62.3690,35.9665,83.8515
Guide × Visual,"total time (s), correct only",Non-grounded,20,80.1225,105.3448,23.5558,62.3690,35.9665,79.9213
Guide × Visual,accuracy,Grounded,28,0.9643,0.1890,0.0357,1.0000,1.0000,1.0000
Guide × Visual,localization F1,Grounded,28,0.3459,0.4011,0.0758,0.0000,0.0000,0.8000
Guide × Visual,F1 · Error type F1,Grounded,28,0.4524,0.4987,0.0942,0.0000,0.0000,1.0000
Guide × Visual,F1 · Step F1,Grounded,28,0.2394,0.3506,0.0663,0.0000,0.0000,0.6000
Guide × Visual,judge time (s),Grounded,28,133.4002,172.6254,32.6231,74.0240,43.9342,162.9822
Guide × Visual,locate time (s),Grounded,28,34.4152,43.4349,8.2084,18.9555,3.6437,49.1208
Guide × Visual,"total time (s), all rows",Grounded,28,167.8155,177.8603,33.6124,130.6105,51.1292,225.8400
Guide × Visual,"total time (s), correct only",Grounded,27,172.3705,179.5765,34.5595,132.8740,59.5605,229.4550
